no_paths,no_points,width,height,drawing
16,1076,156,276,fish
67,2825,270,158,house
33,1385,168,120,tree
35,1388,108,126,bicycle
17,944,224,243,guitar
36,1527,245,253,pencil
19,1104,204,160,clock
14,1122,219,72,car
8,470,217,50,fish
7,358,140,109,house
5,425,131,157,tree
20,557,67,40,bicycle
11,1037,136,277,guitar
7,405,154,134,pencil
15,267,126,132,clock
7,267,183,99,car
12,180,174,74,fish
15,189,228,159,house
3,144,303,245,tree
22,282,119,89,bicycle
18,417,218,203,guitar
8,113,71,203,pencil
14,137,242,230,clock
10,881,245,85,car
3,221,134,82,fish
9,508,146,111,house
9,508,138,150,tree
8,387,122,54,bicycle
15,755,95,181,guitar
5,239,33,206,pencil
6,207,160,217,clock
27,693,256,190,house
20,562,365,174,tree
35,927,124,130,bicycle
18,916,200,357,guitar
15,412,189,137,pencil
8,411,238,235,clock
12,772,190,92,car
16,652,224,126,fish
28,913,333,90,house
13,511,243,174,tree
18,806,138,150,bicycle
13,859,189,234,guitar
7,470,139,241,pencil
12,557,111,153,clock
7,325,189,66,car
7,367,206,104,fish
12,362,89,147,house
3,189,179,170,tree
12,468,223,101,bicycle
7,395,237,124,guitar
3,154,51,187,pencil
11,149,133,124,clock
3,245,237,113,car
2,148,293,88,fish
1,124,181,283,house
1,113,225,294,tree
4,109,203,67,bicycle
1,64,120,111,guitar
1,118,50,194,pencil
7,128,189,154,clock
1,171,176,86,car
8,555,117,74,fish
2,302,308,160,house
3,573,178,171,tree
16,2047,143,83,bicycle
3,973,70,173,guitar
1,382,36,184,pencil
2,297,152,150,clock
22,1157,336,130,car
13,264,227,129,fish
12,425,287,140,house
3,106,283,202,tree
27,914,113,112,bicycle
13,697,297,258,guitar
7,230,190,201,pencil
16,221,203,145,clock
14,996,293,142,car
10,472,317,116,fish
15,544,270,218,house
4,179,346,256,tree
31,613,122,119,bicycle
11,538,199,201,guitar
14,474,306,245,pencil
7,235,253,244,clock
5,395,276,98,car
3,252,250,107,fish
6,128,133,82,house
3,143,155,117,tree
16,256,81,56,bicycle
11,189,151,85,guitar
6,147,189,46,pencil
22,367,242,165,clock
11,1096,265,131,car
4,458,220,145,fish
11,691,212,190,house
1,790,205,297,tree
20,879,121,82,bicycle
9,1066,250,286,guitar
5,420,197,211,pencil
22,1006,301,308,clock
17,1767,357,117,car
20,779,298,92,fish
16,1629,280,232,house
9,1196,327,259,tree
26,1470,102,108,bicycle
25,1645,227,116,guitar
8,728,80,233,pencil
26,1448,190,187,clock
6,790,291,133,car
5,367,168,123,fish
7,726,239,178,house
3,550,183,189,tree
5,365,201,84,bicycle
6,599,161,160,guitar
2,230,168,145,pencil
4,233,202,195,clock
18,803,335,130,car
7,186,293,110,fish
10,351,300,142,house
3,159,225,202,tree
18,515,246,99,bicycle
6,311,200,163,guitar
7,205,130,191,clock
3,592,317,131,car
5,289,172,106,fish
8,536,263,154,house
5,300,224,157,tree
8,399,120,110,bicycle
10,736,301,208,guitar
6,263,200,150,pencil
2,332,173,89,fish
6,298,138,124,house
5,236,160,180,tree
27,769,86,75,bicycle
8,485,108,59,guitar
9,263,97,126,pencil
17,390,142,157,clock
7,539,264,100,car
3,206,171,94,fish
25,345,132,150,house
5,59,212,174,tree
31,376,104,90,bicycle
13,204,130,240,guitar
9,103,166,193,pencil
11,163,53,282,clock
5,1464,245,99,car
3,450,222,108,fish
5,876,184,239,house
3,589,208,171,tree
9,615,115,87,bicycle
8,1236,280,149,guitar
3,304,37,198,pencil
2,261,176,201,clock
8,1345,177,148,car
11,776,90,85,fish
10,641,84,69,house
20,1234,32,92,tree
10,410,35,125,bicycle
12,1044,154,171,guitar
6,406,139,32,pencil
8,617,78,98,clock
6,435,297,255,car
17,422,176,144,fish
14,367,213,231,house
11,315,175,262,tree
17,436,133,158,bicycle
7,366,263,213,guitar
7,204,112,257,pencil
10,156,258,277,clock
14,1176,315,68,car
6,635,354,133,fish
16,1046,234,186,house
28,730,320,285,tree
21,898,118,88,bicycle
26,1019,230,95,guitar
7,612,29,281,pencil
26,1113,316,255,clock
24,1387,150,34,car
13,810,251,116,fish
13,984,242,164,house
11,1075,233,209,tree
20,909,106,87,bicycle
17,1202,249,223,guitar
10,401,180,174,pencil
20,375,234,214,clock
7,566,382,149,car
9,272,312,104,fish
8,483,310,198,house
21,453,304,244,tree
19,609,171,103,bicycle
20,564,268,245,guitar
4,323,49,326,pencil
12,486,254,244,clock
23,1761,261,98,car
98,3953,225,222,fish
32,1674,298,102,house
29,3218,214,212,tree
29,1500,187,120,bicycle
17,1404,213,213,guitar
9,553,31,173,pencil
15,845,301,282,clock
9,646,261,117,car
3,309,272,122,fish
4,208,242,83,house
3,194,194,158,tree
8,465,189,81,bicycle
7,569,289,183,guitar
3,307,259,163,pencil
10,380,173,147,clock
12,1062,277,124,car
11,1351,170,134,fish
8,276,133,161,house
1,184,145,186,tree
8,214,107,105,bicycle
3,373,285,151,guitar
2,175,207,132,pencil
3,113,177,185,clock
9,639,348,187,car
5,294,139,123,fish
13,581,198,99,house
8,357,245,177,tree
16,389,129,61,bicycle
13,851,170,154,guitar
7,238,103,122,pencil
18,574,220,198,clock
16,1929,380,158,car
14,888,251,129,fish
21,2695,352,162,house
45,3157,159,209,tree
26,2052,107,75,bicycle
20,4253,341,344,guitar
12,1060,40,268,pencil
23,658,81,124,clock
33,1690,310,90,car
21,1090,178,183,house
108,1994,258,164,tree
24,907,154,163,bicycle
18,1391,332,118,guitar
21,814,177,179,pencil
21,618,179,163,clock
9,678,320,106,car
4,397,253,100,fish
9,742,279,308,house
1,247,233,281,tree
13,669,182,70,bicycle
17,491,144,180,guitar
2,186,27,224,pencil
3,118,129,131,clock
15,3341,249,90,car
13,1644,95,97,fish
15,3186,246,133,house
6,1086,317,269,tree
16,2199,144,138,bicycle
17,2120,103,121,guitar
7,1500,193,146,pencil
12,2470,147,134,clock
2,384,268,228,car
3,517,276,135,fish
20,1797,268,223,house
14,1306,222,277,tree
7,396,173,66,bicycle
11,1372,196,277,guitar
18,803,54,211,pencil
21,1093,328,292,clock
15,2251,363,128,car
4,437,252,155,fish
5,533,239,240,house
3,437,290,197,tree
29,1390,167,92,bicycle
12,1349,256,283,guitar
5,662,176,265,pencil
10,1127,266,268,clock
10,313,248,43,car
4,172,168,30,fish
7,182,163,64,house
4,138,160,66,tree
9,306,125,51,bicycle
10,593,106,142,guitar
4,112,212,27,pencil
12,257,173,147,clock
6,276,224,116,car
6,159,211,78,fish
12,213,199,177,house
3,158,268,210,tree
9,183,165,155,bicycle
7,426,257,189,guitar
10,167,171,132,pencil
21,221,204,186,clock
13,569,163,91,car
8,424,185,84,fish
7,280,220,106,house
4,266,199,137,tree
12,539,274,82,bicycle
10,709,310,275,guitar
4,316,144,129,pencil
3,202,181,144,clock
25,1470,307,86,car
41,1319,95,191,fish
80,2884,294,189,house
24,1373,301,232,tree
42,1417,139,113,bicycle
22,1338,269,337,guitar
11,380,111,203,pencil
15,390,168,152,clock
20,963,274,83,car
17,738,242,120,fish
25,1074,256,122,house
25,833,330,188,tree
24,767,98,69,bicycle
17,823,221,227,guitar
5,238,21,203,pencil
17,547,187,179,clock
18,835,355,190,car
22,829,265,192,fish
9,332,310,208,house
10,295,278,235,tree
21,338,126,119,bicycle
8,688,305,293,guitar
9,254,232,256,pencil
19,375,278,257,clock
5,648,297,138,car
5,284,229,113,fish
22,394,185,119,house
5,421,296,232,tree
13,336,131,110,bicycle
18,417,207,206,guitar
6,111,205,139,pencil
20,470,260,330,clock
5,430,106,54,car
5,310,228,98,fish
4,387,120,85,house
8,907,302,130,tree
9,388,124,86,bicycle
8,309,172,99,guitar
3,157,14,108,pencil
4,207,162,149,clock
45,2855,241,113,car
11,653,99,73,fish
27,2309,154,141,house
31,1083,316,240,tree
29,1170,101,95,bicycle
9,1345,279,288,guitar
4,687,186,165,pencil
23,1068,160,168,clock
16,789,290,78,car
9,550,131,88,fish
14,599,160,130,house
15,698,254,133,tree
24,900,217,113,bicycle
7,582,176,232,guitar
5,213,135,165,pencil
14,304,218,233,clock
5,525,289,136,car
6,532,271,111,fish
9,436,351,139,house
3,207,237,165,tree
7,353,116,126,bicycle
13,825,174,240,guitar
7,737,192,213,pencil
13,306,225,206,clock
23,1817,342,110,car
13,1170,294,187,fish
26,1254,250,102,house
23,1300,196,244,tree
19,737,192,145,bicycle
13,848,342,220,guitar
4,351,204,341,pencil
22,859,183,148,clock
10,619,194,105,car
9,293,135,93,fish
9,410,303,191,house
2,225,246,282,tree
16,572,111,73,bicycle
5,222,186,89,guitar
2,177,177,149,pencil
18,368,246,251,clock
19,1698,214,97,car
11,553,102,103,fish
55,3949,177,170,house
35,1985,398,140,tree
33,4156,120,118,bicycle
27,1011,184,81,guitar
6,288,26,180,pencil
21,691,187,191,clock
12,970,371,133,car
3,444,295,243,fish
9,794,221,160,house
3,376,261,191,tree
9,732,198,142,bicycle
9,1145,311,362,guitar
7,810,131,278,pencil
7,625,292,260,clock
1,259,263,96,car
5,325,262,70,fish
6,217,177,143,house
7,220,231,173,tree
9,237,106,78,bicycle
9,463,258,195,guitar
3,162,25,194,pencil
4,157,164,160,clock
11,1097,277,96,car
31,1680,323,100,fish
27,1517,292,133,house
10,1059,217,202,tree
12,1854,145,153,bicycle
12,1689,248,172,guitar
7,872,163,169,pencil
14,1355,192,186,clock
9,914,243,73,car
16,603,146,53,fish
19,807,306,90,house
10,461,88,184,tree
3,571,219,163,bicycle
4,394,266,214,guitar
4,180,243,102,pencil
4,127,181,167,clock
7,258,202,82,car
4,386,187,120,fish
5,239,153,235,house
3,260,199,154,tree
10,165,78,55,bicycle
8,304,173,69,guitar
5,142,41,214,pencil
10,109,109,163,clock
22,2177,325,128,car
10,803,343,225,fish
127,2310,269,262,house
53,574,178,271,tree
29,3143,349,144,bicycle
24,1469,325,264,guitar
9,437,20,185,pencil
8,586,203,89,clock
8,735,274,101,car
8,355,217,83,fish
7,355,169,128,house
3,319,242,233,tree
7,321,187,83,bicycle
6,576,177,147,guitar
6,194,82,80,pencil
7,277,208,204,clock
12,1291,189,87,car
5,678,248,152,fish
21,1211,189,106,house
17,1230,175,149,tree
16,1242,184,120,bicycle
11,861,171,238,guitar
6,386,194,231,pencil
19,801,177,203,clock
9,908,354,122,car
8,573,242,125,fish
30,1184,201,92,house
4,242,269,169,tree
20,864,180,90,bicycle
25,1389,237,242,guitar
8,296,108,130,pencil
26,722,182,152,clock
15,623,299,74,car
7,319,197,82,fish
28,581,205,174,house
5,232,273,188,tree
30,957,166,105,bicycle
8,416,267,197,guitar
8,339,218,61,pencil
20,423,174,147,clock
3,634,192,82,car
9,1175,244,116,fish
10,695,131,130,house
2,726,222,179,tree
8,475,122,96,bicycle
13,1142,353,147,guitar
7,367,280,68,pencil
16,468,205,184,clock
7,534,302,91,car
3,255,189,76,fish
9,530,122,224,house
2,217,203,196,tree
7,336,91,106,bicycle
9,438,156,108,guitar
8,343,224,54,pencil
6,213,216,228,clock
9,497,267,125,car
3,118,197,102,fish
11,320,150,137,house
2,191,192,276,tree
19,369,197,129,bicycle
5,174,126,171,guitar
3,91,51,190,pencil
6,175,178,168,clock
16,777,302,129,car
9,425,172,59,fish
11,522,160,88,house
3,313,216,104,tree
17,403,74,77,bicycle
15,492,117,149,guitar
20,515,251,38,pencil
17,618,90,141,clock
10,667,282,142,car
9,534,227,120,fish
12,718,164,164,house
15,823,281,150,tree
16,1118,112,95,bicycle
15,1156,190,117,guitar
9,714,211,173,pencil
13,820,223,204,clock
4,265,176,102,car
2,258,254,113,fish
2,249,235,225,house
12,717,278,186,tree
23,827,145,103,bicycle
7,671,180,136,guitar
4,390,46,251,pencil
3,271,161,162,clock
8,653,263,96,car
4,355,180,117,fish
23,734,175,96,house
4,449,254,196,tree
26,816,96,88,bicycle
30,1319,141,234,guitar
12,634,155,155,pencil
20,625,181,172,clock
19,799,174,101,car
24,634,237,95,fish
17,612,158,138,house
5,368,250,183,tree
27,955,85,133,bicycle
7,669,157,125,guitar
6,245,35,111,pencil
24,784,352,345,clock
5,928,326,169,car
5,359,174,78,fish
9,577,278,192,house
6,411,159,129,tree
9,426,107,101,bicycle
7,515,145,121,guitar
6,369,25,163,pencil
12,696,194,214,clock
3,845,287,99,car
3,730,329,160,fish
12,1103,322,189,house
3,427,253,182,tree
14,1463,192,149,bicycle
22,1498,249,237,guitar
9,868,135,186,pencil
24,1562,217,237,clock
26,1762,290,138,car
8,416,192,68,fish
23,1075,205,110,house
9,379,236,154,tree
26,753,193,109,bicycle
19,824,196,99,guitar
14,448,30,157,pencil
22,734,189,184,clock
4,717,291,87,car
2,168,185,125,fish
8,599,268,192,house
3,327,265,213,tree
17,554,191,127,bicycle
12,737,176,264,guitar
9,639,101,208,pencil
12,514,273,246,clock
102,4192,247,237,fish
64,5395,352,165,house
62,3090,140,173,tree
76,7004,180,148,bicycle
24,3275,205,208,guitar
8,857,44,261,pencil
58,2733,279,249,clock
15,1456,163,57,car
17,1736,229,146,fish
48,3497,241,149,house
51,2389,289,253,tree
66,4753,164,122,bicycle
33,4156,208,255,guitar
16,1904,180,308,pencil
53,3687,323,301,clock
16,606,121,62,car
14,466,110,61,fish
22,929,211,122,house
39,1286,242,224,tree
27,1098,190,88,bicycle
21,1232,251,123,guitar
9,624,163,92,pencil
21,703,178,163,clock
4,695,214,111,car
5,194,152,110,fish
5,356,89,93,house
8,510,221,179,tree
8,414,152,88,bicycle
6,593,205,142,guitar
2,185,82,130,pencil
3,167,109,145,clock
14,796,296,91,car
3,491,300,133,fish
10,488,197,133,house
4,468,194,222,tree
17,1100,122,66,bicycle
31,1047,355,280,guitar
6,648,297,240,pencil
24,862,282,279,clock
14,302,155,171,car
6,253,289,171,fish
10,467,319,154,house
9,349,242,227,tree
15,281,158,103,bicycle
11,365,147,197,guitar
5,192,67,272,pencil
10,99,186,233,clock
12,525,295,82,car
6,440,225,80,fish
14,699,255,131,house
12,302,190,199,tree
16,604,189,162,bicycle
14,249,169,97,guitar
7,371,281,48,pencil
17,375,160,140,clock
1,358,256,114,car
4,394,210,96,fish
9,580,207,125,house
7,425,237,326,tree
11,369,76,66,bicycle
9,682,293,123,guitar
12,404,67,184,pencil
11,213,168,166,clock
16,2047,377,174,car
9,1172,312,137,fish
10,1294,206,293,house
3,628,217,201,tree
14,1209,125,89,bicycle
6,1342,326,88,guitar
4,1067,62,265,pencil
2,531,382,352,clock
21,1154,231,61,car
3,141,105,92,fish
27,907,82,95,house
6,1129,213,169,tree
15,561,88,55,bicycle
16,1295,123,282,guitar
3,267,130,141,pencil
3,113,159,232,clock
10,656,220,78,car
5,421,236,48,fish
17,708,195,95,house
8,504,165,139,tree
24,638,89,70,bicycle
23,1185,281,141,guitar
7,672,239,219,pencil
17,326,127,145,clock
13,1163,328,132,car
13,514,187,77,fish
12,524,198,120,house
1,572,301,361,tree
11,550,149,120,bicycle
19,870,263,269,guitar
5,136,121,33,pencil
37,524,195,185,clock
11,1341,175,71,car
6,757,233,114,fish
8,787,292,205,house
5,576,253,187,tree
21,892,128,86,bicycle
21,1391,192,95,guitar
10,939,145,174,pencil
3,86,210,154,clock
5,992,289,130,car
3,423,126,72,fish
10,635,279,163,house
2,479,256,210,tree
6,484,142,76,bicycle
5,883,229,136,guitar
3,210,23,224,pencil
3,223,155,173,clock
22,1952,278,72,car
51,2359,297,126,fish
25,2635,269,257,house
4,232,97,247,tree
32,1554,112,97,bicycle
9,1442,192,121,guitar
5,894,258,181,pencil
29,1486,232,214,clock
9,1333,357,144,car
4,695,285,233,fish
21,1364,254,142,house
5,1084,277,370,tree
10,772,164,115,bicycle
12,976,222,221,guitar
5,745,224,271,pencil
16,1224,160,377,clock
7,1214,214,116,car
6,410,199,57,fish
3,700,239,211,house
1,336,131,210,tree
10,696,110,75,bicycle
14,1307,169,126,guitar
2,468,187,184,pencil
7,648,153,167,clock
10,608,278,152,car
7,411,229,224,fish
5,280,337,154,house
4,215,214,167,tree
8,311,140,107,bicycle
11,407,181,162,guitar
7,144,119,227,pencil
7,303,233,237,clock
5,459,226,141,car
23,865,245,137,fish
9,568,226,119,house
10,622,234,165,tree
12,733,126,133,bicycle
12,892,127,290,guitar
16,432,159,221,pencil
19,659,263,308,clock
4,951,307,100,car
22,798,236,87,fish
28,1874,219,115,house
14,1954,175,126,tree
18,1040,282,91,bicycle
3,716,197,158,guitar
4,404,35,213,pencil
2,314,146,126,clock
9,523,351,169,car
11,562,280,175,fish
11,281,197,191,house
4,247,272,215,tree
13,364,122,208,bicycle
9,267,173,246,guitar
9,359,213,163,pencil
8,295,269,286,clock
25,1644,298,59,car
14,816,130,52,fish
21,913,180,91,house
13,820,149,222,tree
33,1834,120,92,bicycle
20,1123,264,64,guitar
11,486,50,61,pencil
21,628,153,133,clock
6,418,284,105,car
3,150,276,157,fish
4,239,269,190,house
3,102,188,165,tree
7,192,176,77,bicycle
6,359,311,185,guitar
2,238,171,140,pencil
22,357,170,165,clock
3,445,272,132,car
7,531,243,158,fish
19,597,215,141,house
13,491,244,199,tree
12,316,106,101,bicycle
9,470,154,248,guitar
11,349,161,142,pencil
7,448,241,263,clock
5,511,257,180,car
2,220,261,129,fish
10,560,249,152,house
3,177,227,258,tree
9,266,127,97,bicycle
21,712,182,157,guitar
5,258,138,164,pencil
18,242,175,201,clock
10,1537,279,123,car
4,1577,337,139,fish
20,1767,262,169,house
15,1361,199,235,tree
27,1651,114,85,bicycle
20,1374,181,83,guitar
13,1189,189,106,pencil
8,605,202,211,clock
16,417,126,65,car
21,265,209,122,fish
13,185,235,93,house
4,202,226,158,tree
13,180,71,63,bicycle
12,395,217,138,guitar
10,154,31,112,pencil
16,133,176,186,clock
7,885,314,145,car
1,255,165,89,fish
13,952,183,122,house
3,466,270,247,tree
10,801,125,80,bicycle
5,811,192,275,guitar
6,389,193,164,pencil
3,257,233,281,clock
16,941,289,162,car
13,477,155,92,fish
18,666,177,158,house
69,1466,91,165,tree
11,670,113,93,bicycle
9,672,252,103,guitar
14,420,59,296,pencil
11,456,225,214,clock
14,812,201,67,car
7,535,124,108,fish
21,1471,254,132,house
11,1420,314,240,tree
18,1464,128,108,bicycle
15,1455,178,297,guitar
8,650,47,206,pencil
21,775,215,237,clock
14,1476,201,88,car
2,464,148,71,fish
7,818,197,209,house
2,1016,223,277,tree
6,968,118,73,bicycle
11,1159,145,195,guitar
1,344,24,248,pencil
7,695,246,229,clock
123,15162,266,84,car
123,11273,355,180,house
17,1197,103,66,bicycle
39,3274,116,335,guitar
8,315,196,135,clock
5,752,245,120,car
5,285,195,112,fish
10,835,219,171,house
4,487,182,265,tree
15,910,190,108,bicycle
20,1703,273,158,guitar
9,331,178,176,pencil
21,708,216,81,clock
6,1093,308,95,car
2,455,213,98,fish
10,1149,230,264,house
7,608,220,202,tree
22,1189,97,94,bicycle
21,2256,224,158,guitar
17,1161,45,228,pencil
35,1059,167,212,clock
3,287,195,115,car
4,186,204,161,fish
4,250,168,194,house
4,152,160,114,tree
3,375,216,215,bicycle
9,536,260,133,guitar
14,310,180,168,clock
7,711,206,47,car
4,145,200,101,fish
6,622,133,93,house
30,1065,56,114,tree
22,2299,123,75,bicycle
9,1104,82,130,guitar
10,996,125,182,pencil
15,349,202,232,clock
24,993,130,61,car
6,804,212,121,fish
22,636,118,106,house
20,1475,142,163,tree
9,473,141,99,bicycle
8,463,146,182,guitar
9,1040,176,122,pencil
20,834,104,335,clock
13,296,149,84,car
6,220,136,95,fish
8,247,256,247,house
16,287,145,198,tree
13,270,95,109,bicycle
9,242,180,165,guitar
7,196,70,127,pencil
5,115,167,212,clock
2,694,240,119,car
8,312,193,218,fish
7,436,196,165,house
3,189,232,279,tree
14,443,285,140,bicycle
8,582,292,263,guitar
1,287,115,197,pencil
26,294,272,254,clock
8,389,271,106,car
5,183,159,118,fish
9,244,158,135,house
17,387,240,146,tree
14,395,154,82,bicycle
11,475,121,217,guitar
4,355,222,232,pencil
18,394,198,140,clock
40,1920,360,75,car
51,1545,275,116,fish
32,1442,329,136,house
57,1783,247,274,tree
34,1757,124,102,bicycle
17,984,285,214,guitar
5,325,230,220,pencil
23,824,207,201,clock
13,1127,375,121,car
17,1148,291,233,fish
26,1306,201,195,house
10,446,163,160,tree
26,1371,116,91,bicycle
14,1056,260,213,guitar
6,320,182,258,pencil
15,592,276,190,clock
3,574,174,59,car
5,781,65,177,fish
8,550,124,130,house
2,657,237,218,tree
7,389,130,92,bicycle
5,467,146,161,guitar
3,266,99,190,pencil
5,297,173,157,clock
27,541,219,102,car
128,1549,185,141,fish
18,438,117,288,tree
25,481,101,65,bicycle
30,752,164,218,guitar
14,265,110,203,pencil
24,779,212,221,clock
3,158,168,76,car
3,98,109,50,fish
3,190,157,111,house
3,153,151,145,tree
5,114,93,49,bicycle
6,287,190,100,guitar
9,157,137,35,pencil
14,271,143,132,clock
8,488,233,156,car
10,761,332,236,fish
12,403,229,219,house
11,504,315,344,tree
13,372,171,147,bicycle
6,373,299,305,guitar
1,243,221,260,pencil
6,604,385,392,clock
14,1132,290,149,car
10,827,289,130,fish
10,490,170,164,house
1,446,237,321,tree
10,421,117,100,bicycle
9,695,166,314,guitar
8,350,83,213,pencil
8,256,231,268,clock
8,615,362,81,car
5,453,284,173,fish
38,1730,157,260,house
19,803,146,327,tree
8,334,188,70,bicycle
11,576,105,315,guitar
2,226,261,153,pencil
10,348,139,90,clock
7,950,308,123,car
7,418,234,114,fish
7,674,119,150,house
3,366,171,179,tree
13,849,209,137,bicycle
12,518,116,147,guitar
3,225,153,142,pencil
7,258,199,192,clock
9,398,179,119,car
19,333,155,134,fish
24,757,236,142,house
24,969,331,206,tree
20,456,99,111,bicycle
11,477,162,287,guitar
11,926,208,168,car
2,261,207,180,fish
19,1293,248,179,house
19,1115,338,238,tree
11,503,143,105,bicycle
5,303,195,149,guitar
7,598,67,185,pencil
13,371,185,219,clock
7,560,297,122,car
5,147,257,146,fish
7,395,203,114,house
25,448,95,140,tree
11,308,112,69,bicycle
14,403,184,174,guitar
12,418,218,206,pencil
5,256,201,195,clock
5,313,260,78,car
6,394,219,78,fish
16,610,186,92,house
6,468,247,153,tree
8,220,132,49,bicycle
7,472,175,180,guitar
8,246,45,235,pencil
15,273,147,141,clock
16,1353,208,105,car
10,615,198,92,fish
9,803,281,225,house
7,479,254,218,tree
20,1412,193,171,bicycle
12,1051,105,206,guitar
10,914,162,181,pencil
3,203,184,159,clock
18,1113,217,106,car
6,430,288,77,fish
2,227,193,259,house
3,91,225,166,tree
20,289,161,84,bicycle
8,268,246,135,guitar
5,55,36,187,pencil
13,190,141,190,clock
7,1428,387,153,car
9,1164,331,63,fish
37,1472,318,157,house
3,565,227,222,tree
15,1346,160,112,bicycle
21,1106,204,194,guitar
8,519,26,267,pencil
3,256,152,157,clock
6,628,292,116,car
4,297,200,145,fish
8,294,169,156,house
8,341,189,158,tree
8,372,112,116,bicycle
14,336,238,152,guitar
4,212,128,137,pencil
15,205,203,230,clock
6,854,215,67,car
2,434,302,190,fish
30,1722,360,151,house
120,1605,128,173,tree
35,1406,103,92,bicycle
33,1295,167,162,guitar
10,438,260,63,pencil
9,533,278,287,clock
4,333,312,132,car
1,67,147,114,fish
7,140,195,154,house
1,154,196,239,tree
5,153,172,92,bicycle
6,264,174,130,guitar
1,132,98,341,pencil
10,200,155,211,clock
3,574,215,103,car
2,291,161,80,fish
5,589,192,101,house
5,480,193,156,tree
14,2029,95,110,bicycle
9,980,151,144,guitar
4,467,59,244,pencil
11,1414,165,155,clock
5,956,251,146,car
2,205,124,55,fish
5,772,158,138,house
2,354,95,93,tree
6,358,133,98,bicycle
7,228,84,81,guitar
1,455,147,95,pencil
3,124,118,130,clock
2,323,247,89,car
6,372,253,82,fish
4,261,237,237,house
5,356,277,194,tree
15,530,126,91,bicycle
5,383,338,150,guitar
7,275,219,225,pencil
14,306,259,208,clock
38,2032,126,81,car
27,1235,175,100,fish
48,2355,180,89,house
108,2251,109,223,tree
68,3583,104,100,bicycle
19,2303,197,244,guitar
15,1000,93,155,pencil
30,1930,170,254,clock
14,1238,169,135,car
29,1006,140,133,fish
22,1150,122,73,house
18,631,200,122,tree
58,2231,86,76,bicycle
20,1879,129,143,guitar
15,1584,120,247,pencil
5,552,301,145,car
8,309,244,161,fish
9,455,208,233,house
14,718,229,132,tree
6,456,168,128,bicycle
6,571,241,210,guitar
12,564,193,244,pencil
18,819,161,223,clock
5,828,360,128,car
13,537,221,87,fish
15,736,206,117,house
11,961,286,210,tree
10,360,158,82,bicycle
11,758,214,133,guitar
9,556,104,144,pencil
1,105,228,171,clock
7,702,326,129,car
3,347,318,244,fish
13,569,270,131,house
3,900,294,293,tree
9,584,134,115,bicycle
6,818,391,340,guitar
8,450,82,255,pencil
3,301,249,211,clock
15,940,372,100,car
4,389,260,92,fish
7,487,148,101,house
8,448,356,223,tree
25,1067,140,133,bicycle
5,654,389,126,guitar
5,270,27,277,pencil
10,512,165,195,clock
8,1211,271,93,car
3,340,188,64,fish
17,1610,258,203,house
4,604,239,212,tree
30,1830,135,71,bicycle
15,1566,154,187,guitar
13,969,194,138,pencil
34,1248,271,250,clock
8,272,184,75,car
12,204,114,65,fish
10,262,134,192,house
7,346,208,184,tree
22,283,85,65,bicycle
10,417,153,131,guitar
15,374,69,182,pencil
24,426,164,201,clock
7,238,197,72,car
6,140,203,62,fish
7,158,141,97,house
9,332,224,158,tree
7,140,85,75,bicycle
6,191,182,165,guitar
6,109,48,131,pencil
11,90,152,149,clock
5,567,264,167,car
5,151,176,117,fish
6,306,173,137,house
4,229,144,135,tree
6,252,159,81,bicycle
10,384,285,123,guitar
3,401,35,215,pencil
11,349,247,274,clock
22,209,87,28,car
18,172,166,68,fish
32,216,120,131,house
21,102,140,65,tree
33,365,113,113,bicycle
34,571,84,154,guitar
11,210,21,152,pencil
31,188,162,162,clock
7,807,250,106,car
8,640,304,107,fish
20,1135,217,176,house
3,360,258,233,tree
27,1110,130,77,bicycle
16,1012,205,153,guitar
10,411,130,73,pencil
9,408,226,208,clock
13,292,221,90,car
3,165,312,158,fish
14,281,238,240,house
78,651,178,308,tree
11,394,204,189,bicycle
6,288,337,166,guitar
9,174,54,251,pencil
4,111,244,235,clock
6,449,357,177,car
10,393,195,78,fish
5,365,216,311,house
3,394,305,264,tree
8,201,156,99,bicycle
15,760,175,196,guitar
7,178,310,182,pencil
16,274,231,250,clock
5,465,283,131,car
4,294,251,195,fish
3,245,162,206,house
3,120,149,130,tree
9,282,179,110,bicycle
4,294,222,131,guitar
5,98,29,114,pencil
4,75,125,128,clock
15,1584,230,64,car
9,330,142,137,fish
12,412,131,179,house
4,377,245,360,tree
15,499,145,114,bicycle
17,851,81,153,guitar
9,355,23,195,pencil
10,502,205,186,clock
4,501,250,79,car
7,404,170,83,fish
5,444,245,89,house
4,360,173,193,tree
10,541,121,108,bicycle
17,754,184,207,guitar
8,365,74,130,pencil
9,403,191,201,clock
2,586,197,104,car
4,147,90,45,fish
7,377,118,106,house
3,180,158,152,tree
13,421,66,35,bicycle
13,742,146,104,guitar
7,295,164,133,clock
6,1106,289,105,car
21,1116,187,151,fish
10,803,244,145,house
38,960,241,211,tree
10,806,140,79,bicycle
10,1029,176,265,guitar
7,422,131,161,pencil
19,830,149,137,clock
13,1204,321,134,car
6,844,216,115,fish
4,404,168,115,house
3,314,320,253,tree
18,1156,234,152,bicycle
9,708,296,116,guitar
4,505,42,310,pencil
4,362,157,157,clock
6,574,102,38,car
3,276,97,35,fish
1,211,70,129,house
3,263,182,161,tree
15,1017,176,82,bicycle
5,1022,108,227,guitar
5,512,93,121,pencil
8,394,146,152,clock
17,695,199,56,car
9,309,172,74,fish
8,368,111,174,house
24,375,80,119,tree
